lam      chi    loggf
3153.200 2.449 -0.974     
3153.314 2.449 -1.562     
3154.107 1.608 -3.038        
3154.387 2.176 -4.134         
3154.415 2.176 -3.925         
3154.497 2.469 -1.315     
3154.937 2.876 -5.027         
3154.987 2.851 -5.616         
3155.117 2.482 -2.455         
3155.294 2.433 -2.655     
3155.797 2.404 -1.648      
3155.956 2.176 -4.048        
3156.274 3.241 -0.177     
3156.463 2.990 -1.985    
3157.036 2.425 -0.684      
3157.143 2.279 -2.091     
3157.408 2.949 -3.295    
3157.450 2.728 -1.996        
3157.885 2.469 -0.773     
3157.987 2.425 -1.628     
3158.212 2.469 -3.049         
3158.762 2.424 -3.161      
3159.022 2.949 -1.454     
3159.083 3.332 -3.010         
3159.249 2.609 -3.714     
3159.433 2.759 -2.127        
3160.156 2.882 -5.244         
3160.197 3.266 -0.852         
3160.342 2.404 -2.014      
3160.607 2.279 -5.313     
3160.657 2.425 -0.585     
3160.772 2.399 -1.350         
3160.919 2.469 -1.871         
3160.991 2.404 -3.602      
3161.371 1.557 -1.795     
3161.553 2.453 -2.252     
3161.946 2.399 -1.043      
3162.010 2.808 -7.752         
3162.331 2.450 -5.637         
3162.331 2.692 -2.051        
3162.512 2.728 -1.665        
3163.113 1.557 -3.486        
3163.373 2.759 -2.650        
3164.296 2.450 -4.043         
3164.321 2.453 -3.642     
3164.801 2.759 -4.521        
3164.906 2.728 -2.384         
3165.002 2.425 -1.311         
3165.077 2.453 -2.577      
3165.159 2.176 -2.579         
3165.366 1.608 -4.540        
3165.858 2.449 -1.141     
3165.939 2.453 -2.469     
3166.245 2.450 -1.923         
3166.332 2.453 -5.047     
3166.406 2.865 -6.736         
3166.436 2.559 -0.921  
3166.584 2.198 -4.456         
3166.971 3.018 -2.045    
3167.778 2.851 -8.936         
3167.780 2.176 -3.210         
3167.915 3.241 -1.256         
3168.145 2.876 -1.978         
3168.854 2.469 -1.562     
3168.938 2.482 -2.098         
3169.082 3.573 -2.958         
3169.333 1.608 -3.730         
3169.335 3.368 -3.346         
3169.585 2.425 -1.388         
3169.942 2.450 -4.565         
3171.343 1.485 -3.696         
3171.351 3.047 -0.709       
3171.662 2.482 -1.683     
3171.764 2.832 -3.071        
3172.038 2.453 -2.920     
3172.084 2.198 -2.122     
3172.113 2.198 -2.899         
3172.291 2.759 -2.366         
3173.106 2.223 -7.713         
3173.237 2.832 -2.967        
3173.408 2.882 -1.795         
3173.609 2.865 -1.584         
3173.671 2.198 -3.663        
3173.687 2.759 -1.524        
3174.214 3.283 -2.163         
3174.253 2.851 -5.867         
3175.282 2.759 -2.473        
3175.311 1.485 -3.253        
3175.320 3.252 -6.219         
3175.445 2.399 -0.621      
3175.983 2.885 -2.122         
3176.282 3.266 -3.566         
3176.359 2.608 -1.572     
3176.468 2.279 -4.803      
3177.077 1.485 -3.868        
3177.520 2.450 -1.854         
3177.558 1.557 -4.101        
3177.959 2.469 -2.010         
3178.013 2.399 -0.758     
3178.163 2.433 -1.940     
3178.234 3.017 -4.269        
3178.538 3.018 -1.100    
3178.739 3.640 -2.325    
3178.963 2.433 -1.791      
3179.290 2.865 -6.305         
3179.479 1.608 -3.418         
3180.223 2.449 -0.220     
3180.264 3.642 -3.748    
3180.476 2.832 -2.707        
3180.745 3.397 -2.961         
3180.755 0.087 -3.030     
3181.050 2.279 -5.112     
3181.519 2.588 -0.855     
3181.680 2.833 -6.230         
3181.848 2.876 -1.642         
3181.911 2.469 -1.869     
3181.920 3.017 -2.238         
3182.055 2.425 -1.355     
3182.168 3.252 -1.924         
3182.224 3.018 -2.488     
3182.427 2.940 -7.602         
3182.611 2.759 -3.629        
3182.796 1.608 -2.814        
3182.974 2.851 -0.821     
3182.977 2.198 -2.013         
3183.111 2.990 -2.214     
3183.575 2.433 -2.422      
3184.106 3.332 -1.772         
3184.203 2.845 -2.216        
3184.233 2.433 -5.566      
3184.619 2.450 -1.175         
3184.622 2.450 -1.767         
3184.676 2.833 -5.467         
3184.895 0.052 -2.602     
3185.204 2.832 -4.010        
3185.226 3.642 -2.785     
3185.528 3.642 -2.133    
3185.545 2.851 -4.656         
3185.646 2.469 -3.715         
3185.811 2.865 -6.970         
3186.046 2.692 -2.738         
3186.813 2.223 -2.889         
3186.933 2.692 -2.608         
3187.157 2.882 -2.180         
3187.677 1.557 -3.013         
3187.754 2.759 -2.918        
3188.018 2.728 -1.589        
3188.502 2.692 -3.885         
3188.533 3.368 -1.394         
3188.568 2.399 -1.077      
3188.656 3.573 -2.966         
3188.819 2.482 -0.715     
3188.899 1.485 -5.098         
3189.005 2.424 -5.819     
3190.016 2.588 -2.175     
3190.649 3.047 -1.015        
3190.817 3.047 -1.118     
3190.937 2.728 -2.503        
3191.112 2.559 -1.846    
3191.193 2.990 -2.282    
3191.412 3.252 -1.572         
3191.492 2.845 -4.028        
3191.659 0.000 -2.596     
3192.242 1.608 -3.374        
3192.398 3.397 -1.327         
3192.413 2.223 -2.450         
3192.800 2.482 -0.417     
3192.843 2.990 -1.860     
3193.226 0.000 -2.215     
3193.300 2.469 -0.483     
3193.733 3.274 -2.503         
3194.029 2.425 -1.930         
3194.114 2.876 -6.697         
3194.424 2.469 -1.305     
3194.595 2.865 -1.609         
3195.151 2.453 -2.258     
3195.960 2.453 -3.335      
3196.123 2.832 -0.715     
3196.253 2.845 -3.641        
3196.631 2.832 -2.854        
3196.927 2.425  0.003      
3196.987 0.052 -2.828     
3197.025 2.851 -6.348         
3197.186 2.865 -4.856         
3197.521 3.417 -1.102         
3197.567 2.865 -4.532         
3198.265 2.609 -2.338      
3198.380 2.876 -4.896         
3199.500 0.110 -3.025     
3199.530 2.425 -0.511     
